"Team" "diff_1st.Downs" "diff_3rd.down.efficiency" "diff_4th.down.efficiency" "diff_Total.Yards" "diff_Passing" "diff_Comp.Att" "diff_Yards.per.pass" "diff_Interceptions.thrown" "diff_Rushing" "diff_Rushing.Attempts" "diff_Yards.per.rush" "diff_Penalties" "diff_Turnovers" "diff_Fumbles.lost" "diff_Possession" "diff_Score" "Result_num" "CONF_PWR" "OPP_CONF_PWR" "CONF_Matchup" "Conference" "Team_P5_G5"
"107" "UL" 0.75 0.009 0.197 6.083 5.583 -0.004 -0.342 -0.5 0.5 -0.25 0.125 2.583 -0.667 -0.167 -0.677 4.167 0.5 5 5 0 "SBC" "G5"
"108" "ULM" -3.75 -0.01 -0.103 -101.5 -27.333 0.01 -1.083 0.083 -74.167 -5.417 -1.283 -22.833 0.583 0.5 -1.055 -12.083 0.333 5 7.083 -2.083 "SBC" "G5"
"109" "UNC" 1.923 0.061 0.269 35.385 40.846 0.022 0.646 -0.077 -5.462 -0.538 0.169 3.385 0.077 0.154 -0.605 4 0.692 17 13.923 3.077 "ACC" "P5"
"110" "UNLV" -3.25 -0.056 -0.012 -31.25 -10.75 0.039 -0.2 -0.667 -20.5 -6.5 0.15 15.583 -0.5 0.167 -2.365 -2.167 0.417 4 5.917 -1.917 "MW" "G5"
"111" "UNM" -4.5 -0.114 -0.297 -132.667 -97.833 -0.082 -3.375 0 -34.833 -1.833 -0.633 -11.917 -0.25 -0.25 -2.085 -12.917 0.167 4 4.917 -0.917 "MW" "G5"
"112" "UNT" -1.846 -0.042 -0.045 3.615 -9.538 -0.084 0.823 0.462 13.154 -2 0.354 -12.846 0.385 -0.077 -5.322 2.462 0.538 2 3.385 -1.385 "CUSA" "G5"
"113" "USA" 4.5 0.128 -0.083 120.167 42.75 0.05 1.517 -0.167 77.417 11.583 0.95 28.333 -0.417 -0.25 5.653 12.5 0.833 5 5.167 -0.167 "SBC" "G5"
"114" "USC" 2.769 0.082 -0.192 84.769 59.231 0.029 1.515 -1.154 25.538 2 0.569 8.154 -1.615 -0.462 2.675 13.154 0.846 19 16.462 2.538 "PAC12" "P5"
"115" "USF" -6.333 -0.118 0.012 -126.917 -89.083 -0.143 -1.725 0.25 -37.833 -1.5 -0.858 -9.167 0.417 0.167 -1.04 -13.167 0.083 11 12.083 -1.083 "AAC" "G5"
"116" "USM" -1.417 -0.027 0.278 -36 -19.167 -0.06 0.35 -0.167 -16.833 -1.25 -0.158 1.75 0.25 0.417 -2.24 0.75 0.5 5 5.917 -0.917 "SBC" "G5"
"117" "USU" -0.833 -0.083 0.178 -34.333 1.75 0.049 -0.633 0.583 -36.083 2.667 -1.258 16.833 0.583 0 -1.595 -7.333 0.5 4 6.25 -2.25 "MW" "G5"
"118" "UTAH" 10.385 0.185 0.159 147.385 34.154 0.073 1.1 -0.308 113.231 11.846 2.038 -20.538 -0.615 -0.308 7.109 19.615 0.769 19 16.615 2.385 "PAC12" "P5"
"119" "UTEP" 2.333 0.03 -0.126 31.917 0.75 0.004 -0.458 0.583 31.167 5.083 0.175 0 0.417 -0.167 7.56 -2.583 0.417 2 3.917 -1.917 "CUSA" "G5"
"120" "UTSA" 6 0.093 0.058 81.231 55.154 0.111 1.062 -0.462 26.077 3.615 0.369 -0.615 -0.462 0 -0.071 12.154 0.846 2 4 -2 "CUSA" "G5"
"121" "UVA" -1.9 -0.047 -0.108 -13.6 16.6 -0.072 -0.1 0.7 -30.2 -7.9 -0.3 2.7 0.9 0.2 -4.896 -7 0.3 17 14.5 2.5 "ACC" "P5"
"122" "VAN" -3.75 -0.027 -0.081 -114.083 -103.167 -0.068 -2.267 0 -10.917 4 -1.175 -8.667 0 0 3.204 -11.417 0.417 22 16.5 5.5 "SEC" "P5"
"123" "VT" -2.727 -0.022 -0.197 -57.091 -32.727 -0.006 -0.336 0.455 -24.364 0.636 -0.555 4.273 0.545 0.091 -1.696 -5.455 0.273 17 13.364 3.636 "ACC" "P5"
"124" "WAKE" 5.083 0.057 0.01 37.75 41.75 0.046 1.117 0.417 -4 3.333 -0.525 -23.667 0.25 -0.167 -2.815 7.583 0.583 17 13.667 3.333 "ACC" "P5"
